id,price_doc
30474,5456599.0
30475,8499518.0
30476,5407515.0
30477,6007487.5
30478,5197462.0
30479,9781034.0
30480,4254195.0
30481,4339585.5
30482,4746357.0
30483,4917698.0
30484,6449128.5
30485,5124184.5
30486,3687433.25
30487,4069279.75
30488,6270131.0
30489,6319712.5
30490,23236256.0
30491,20689706.0
30492,5981924.0
30493,13316506.0
30494,7070516.5
30495,10567500.0
30496,8590816.0
30497,8438388.0
30498,4650547.0
30499,8413002.0
30500,11483890.0
30501,7065906.0
30502,3277575.25
30503,7104832.5
30504,5796266.5
30505,11024512.0
30506,3532106.0
30507,4900114.0
30508,5364693.0
30509,7722974.5
30510,9476494.0
30511,6701877.0
30512,6306240.0
30513,4289953.0
30514,3704707.25
30515,10012334.0
30516,5965754.0
30517,11586422.0
30518,8922648.0
30519,4597339.0
30520,7277893.0
30521,6094279.5
30522,7731207.0
30523,6544715.0
30524,10818874.0
30525,12046370.0
30526,5112839.5
30527,4955632.0
30528,7054171.5
30529,6974483.5
30530,6448208.0
30531,15069494.0
30532,4970452.5
30533,11315768.0
30534,6787506.0
30535,9779504.0
30536,5981428.0
30537,11799218.0
30538,4840085.5
30539,8746168.0
30540,9870294.0
30541,6259429.0
30542,2271734.0
30543,5772649.0
30544,6639133.5
30545,8633210.0
30546,4321966.0
30547,10282466.0
30548,4618835.0
30549,5252698.0
30550,12527452.0
30551,5295822.0
30552,1947546.125
30553,7953492.5
30554,11025710.0
30555,6287400.5
30556,9436200.0
30557,7575134.0
30558,9638588.0
30559,6090521.5
30560,6427055.0
30561,6879612.5
30562,12902456.0
30563,5032321.5
30564,7455483.0
30565,6654824.0
30566,7126960.0
30567,2122843.0
30568,9767462.0
30569,10363870.0
30570,6922734.0
30571,7736721.0
30572,4985147.5
30573,6686250.0
30574,6175720.0
30575,7985133.5
30576,5082456.0
30577,4180813.5
30578,3455076.5
30579,6948896.0
30580,4525208.0
30581,5640850.5
30582,13250918.0
30583,7062823.0
30584,4366025.5
30585,2538092.75
30586,9667656.0
30587,5845443.5
30588,7974821.5
30589,7314864.5
30590,12194786.0
30591,5352327.5
30592,6573097.0
30593,8003002.5
30594,6548023.5
30595,5774203.5
30596,7054322.0
30597,6686250.0
30598,9776480.0
30599,10407804.0
30600,4920420.5
30601,6128479.0
30602,1807803.75
30603,12336266.0
30604,4635008.5
30605,6964846.5
30606,26726446.0
30607,6715088.5
30608,8952956.0
30609,6325519.0
30610,3161895.75
30611,5409953.5
30612,7252950.0
30613,9248194.0
30614,16984298.0
30615,7519362.5
30616,5547469.5
30617,9486862.0
30618,5015230.0
30619,4302719.5
30620,2753385.75
30621,9214214.0
30622,8180964.0
30623,6377897.5
30624,7042307.5
30625,8285211.0
30626,6399769.0
30627,7101151.5
30628,6623950.0
30629,5371451.5
30630,4779828.5
30631,6324582.0
30632,4194408.0
30633,5919200.5
30634,11706630.0
30635,9889704.0
30636,5372895.5
30637,9881238.0
30638,5901348.5
30639,7748682.0
30640,4757152.5
30641,8232398.5
30642,6760251.0
30643,7971393.5
30644,9776480.0
30645,7462364.0
30646,5328653.0
30647,4837173.5
30648,25452412.0
30649,2124571.25
30650,5005383.0
30651,3638489.5
30652,4642768.0
30653,7023345.0
30654,4421396.5
30655,13636330.0
30656,4040636.0
30657,6562837.5
30658,11985300.0
30659,4875438.5
30660,8523908.0
30661,6909944.0
30662,8641018.0
30663,16340696.0
30664,12368660.0
30665,6251763.0
30666,2702775.0
30667,4264309.0
30668,9603206.0
30669,4885904.5
30670,2495166.5
30671,7249035.5
30672,17144954.0
30673,10479654.0
30674,12096316.0
30675,2271734.0
30676,6796736.0
30677,4116446.0
30678,18586440.0
30679,5801595.5
30680,5159985.0
30681,2498538.5
30682,9105900.0
30683,9866304.0
30684,4828005.0
30685,7652286.0
30686,9948328.0
30687,5213503.5
30688,4509907.5
30689,13742534.0
30690,27494786.0
30691,4646455.0
30692,5971542.5
30693,11879816.0
30694,5620142.5
30695,7496595.5
30696,6865639.0
30697,12274850.0
30698,7945020.5
30699,6048489.5
30700,5040533.0
30701,9776480.0
30702,6286592.5
30703,3898307.5
30704,12034642.0
30705,9322324.0
30706,24459016.0
30707,3752774.0
30708,13910176.0
30709,6138059.0
30710,6784405.5
30711,4657457.0
30712,4191290.25
30713,6631900.5
30714,7339882.5
30715,4042693.0
30716,9866304.0
30717,5958794.5
30718,7733767.5
30719,14827368.0
30720,7438308.5
30721,4724427.5
30722,7279518.5
30723,6201959.0
30724,12467460.0
30725,7119003.5
30726,11661000.0
30727,10012334.0
30728,12442430.0
30729,3530529.75
30730,6290115.0
30731,6511668.5
30732,4472640.5
30733,9699340.0
30734,7114859.5
30735,5633420.5
30736,5508869.0
